job_admin.,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,marital_divorced,marital_married,marital_single
False,False,False,False,False,False,False,True,False,False,False,False,True,False
False,False,False,False,False,False,False,False,False,False,True,True,False,False
False,False,False,False,False,False,False,False,False,True,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,True,False,False,False,False,False,False,True,False
False,False,True,False,False,False,False,False,False,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,False,False,True,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,True,False,False,False,False,True,False,False
False,False,False,False,False,False,False,True,False,False,False,False,True,False
False,False,False,False,False,False,True,False,False,False,False,True,False,False
False,False,False,False,False,False,False,False,False,True,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,True,False,False,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,True,False,False
False,False,False,False,False,False,False,False,False,True,False,False,True,False
False,False,False,False,False,True,False,False,False,False,False,True,False,False
False,True,False,False,False,False,False,False,False,False,False,True,False,False
False,False,False,True,False,False,False,False,False,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,True,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,True,False,False,False,False,False,True,False
False,False,False,False,False,False,False,False,False,True,False,True,False,False
False,False,False,True,False,False,False,False,False,False,False,False,True,False
False,False,False,False,True,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,False,False,False,True,True,False,False
False,False,False,False,False,True,False,False,False,False,False,False,False,True
False,True,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True
False,True,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,True,False,False
False,False,False,False,False,True,False,False,False,False,False,False,True,False
False,True,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,True,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,True,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,True,False,False
False,False,False,False,False,False,False,False,False,True,False,True,False,False
False,False,False,False,False,True,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,True,False,False
False,False,False,False,False,False,False,False,False,True,False,False,True,False
False,False,False,True,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,False,False,True,False,False,False,True
False,True,False,False,False,False,False,False,False,False,False,True,False,False
False,False,False,True,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,True,False,False,False,False,False,False,True,False
False,True,False,False,False,False,False,False,False,False,False,False,True,False
False,True,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,True,False,False,False,False,False,True,False,False
False,False,False,False,False,False,True,False,False,False,False,False,True,False
False,False,True,False,False,False,False,False,False,False,False,True,False,False
False,False,False,False,False,False,False,False,False,True,False,False,True,False
False,False,False,False,False,False,False,False,False,True,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,True,False,False
False,True,False,False,False,False,False,False,False,False,False,True,False,False
False,False,False,False,False,False,True,False,False,False,False,False,True,False
False,True,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,False,False,True,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,False,False,True,False,False,False,True
False,False,False,False,False,False,False,False,False,False,True,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,False,False,True,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,False,False,True,False,False,False,True
False,False,False,False,False,False,False,False,False,True,False,False,True,False
False,False,False,False,True,False,False,False,False,False,False,True,False,False
False,True,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,False,True,False
False,True,False,False,False,False,False,False,False,False,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,True,False,False,False,False,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,True,False,False,False,False,False,False,False,False,True,False
False,False,True,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,True,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,False,True,False
False,False,False,False,False,True,False,False,False,False,False,True,False,False
False,True,False,False,False,False,False,False,False,False,False,True,False,False
False,False,False,False,True,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,False,False,True,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,True,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,True,False,False,False,False,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,False,False,True,False
False,True,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,False,False,True,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,True,False,False,False,False,True,False,False
False,False,True,False,False,False,False,False,False,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,True,False,False
False,False,False,True,False,False,False,False,False,False,False,True,False,False
False,False,False,False,True,False,False,False,False,False,False,False,True,False
False,True,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,True,False,False,False,False,False,True,False,False
False,False,False,False,False,False,False,True,False,False,False,False,True,False
False,False,False,False,False,True,False,False,False,False,False,True,False,False
False,False,False,False,False,False,False,True,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,True,False,False
False,True,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,True,False,False,False,False,False,False,False,False,True,False
False,False,True,False,False,False,False,False,False,False,False,True,False,False
False,True,False,False,False,False,False,False,False,False,False,True,False,False
False,False,False,False,False,False,False,False,False,True,False,False,True,False
False,False,False,False,False,True,False,False,False,False,False,True,False,False
False,False,False,False,False,False,False,False,False,True,False,False,True,False
False,False,False,True,False,False,False,False,False,False,False,False,True,False
False,False,False,True,False,False,False,False,False,False,False,True,False,False
False,False,False,False,False,False,False,True,False,False,False,True,False,False
False,False,False,False,False,True,False,False,False,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,False,False,True,False,False,False,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,False,False,True,False,True,False,False
False,False,True,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,False,False,True,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,False,True,False
False,True,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,True,False,False
False,False,False,True,False,False,False,False,False,False,False,False,True,False
False,False,False,True,False,False,False,False,False,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,False,False,True,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,False,False,True,False,False,False,True
False,False,False,False,True,False,False,False,False,False,False,False,True,False
False,True,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,True,False,False,False,False,False,False,False,False,False,True,False,False
False,True,False,False,False,False,False,False,False,False,False,True,False,False
False,True,False,False,False,False,False,False,False,False,False,True,False,False
False,False,False,False,False,False,False,False,False,True,False,True,False,False
False,True,False,False,False,False,False,False,False,False,False,True,False,False
False,False,False,False,False,False,False,False,False,True,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,False,False,True,False,False,False,True
False,False,False,True,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,True,False,False
False,False,False,False,False,False,False,True,False,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,True,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,True,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,True,False,False
False,False,False,False,False,False,True,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,True,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,True,False,False
False,False,False,True,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True,False,False,False,False,True,False
False,False,False,False,False,False,False,False,False,True,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,False,False,True,False,False,True,False
False,False,False,False,False,True,False,False,False,False,False,True,False,False
False,False,False,False,False,False,False,False,False,False,True,False,True,False
False,False,False,False,False,False,False,False,False,True,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,False,False,True,False,False,False,False,False,False,True,False
False,False,False,False,False,True,False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,False,False,True,False,True,False,False
False,False,False,False,False,False,False,True,False,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,True,False,False,False,False,False,False,False,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,True,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,True,False,False,False,False,False,True,False,False
False,False,False,False,False,False,False,False,False,True,False,False,False,True
False,False,False,True,False,False,False,False,False,False,False,False,True,False
False,False,False,True,False,False,False,False,False,False,False,False,True,False
False,True,False,False,False,False,False,False,False,False,False,True,False,False
False,False,False,False,False,False,False,True,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,False,True,False,False,False,False,True
False,True,False,False,False,False,False,False,False,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,True,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,False,True,False,False,False,False,True
False,False,True,False,False,False,False,False,False,False,False,False,True,False
False,False,True,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,False,False,True,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,True,False,False
False,False,False,False,False,False,False,False,False,True,False,False,True,False
False,True,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,True,False,False,False,False,False,True,False,False
False,True,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,False,False,False,True,False,True,False
False,False,False,False,False,False,False,False,False,False,True,False,True,False
False,True,False,False,False,False,False,False,False,False,False,False,True,False
False,True,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,True,False,False
False,False,False,False,False,False,False,False,True,False,False,False,False,True
False,False,False,False,False,False,False,False,False,True,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,True,False,False
False,False,False,False,False,False,False,False,False,False,True,False,True,False
False,False,True,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,True,False,False
False,False,False,False,False,False,True,False,False,False,False,False,True,False
False,False,False,False,False,False,False,False,False,False,True,True,False,False
False,True,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,True,False,False,False,False,False,False,False,True,False,False
False,True,False,False,False,False,False,False,False,False,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,True,False,False,False,False,False,False,False,False,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,True,False,False
False,False,False,True,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,True,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,False,False,False,True,False,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,True,False,False
False,False,False,False,False,False,False,False,False,True,False,False,False,True
False,False,False,False,False,True,False,False,False,False,False,False,True,False
False,True,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,False,False,True,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,True,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,False,False,True,False,False,True,False
False,False,False,False,True,False,False,False,False,False,False,False,False,True
False,True,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,False,False,True,False,True,False,False
False,False,False,False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,False,False,False,False,False,True,False,True,False,False
False,False,False,True,False,False,False,False,False,False,False,True,False,False
False,False,False,True,False,False,False,False,False,False,False,True,False,False
False,False,False,False,False,True,False,False,False,False,False,False,True,False
False,False,False,False,False,True,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True
False,True,False,False,False,False,False,False,False,False,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,True,False,False
False,True,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,True,False,False,False,False,False,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,True,False,False
False,False,False,False,False,False,False,False,False,True,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,True,False,False
False,False,True,False,False,False,False,False,False,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,False,False,True,False,False,True,False
False,False,False,True,False,False,False,False,False,False,False,True,False,False
False,False,False,False,False,False,False,False,False,False,True,False,True,False
False,False,False,False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,False,True,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,False,False,True,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,True,False,False
False,True,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,True,False,False
False,False,False,False,False,False,False,False,False,True,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,False,False,True
False,False,True,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,False,False,True,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,False,True,False
False,False,True,False,False,False,False,False,False,False,False,True,False,False
False,True,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,False,False,True,False,False,True,False
False,True,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,True,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,True,False,False,False,False,False,False,True,False
False,False,False,False,True,False,False,False,False,False,False,True,False,False
False,False,False,False,False,True,False,False,False,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,True,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,False,False,False,True,False,True,False
False,True,False,False,False,False,False,False,False,False,False,True,False,False
False,False,False,True,False,False,False,False,False,False,False,True,False,False
False,False,False,False,False,False,False,True,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,True,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,True,False,False,False,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,True,False,False,False,False,False,False,False,False,True,False
False,False,False,True,False,False,False,False,False,False,False,False,True,False
False,True,False,False,False,False,False,False,False,False,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,True,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,True,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,False,False,True,False,True,False,False
False,True,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,False,False,True,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,True,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,False,True,False
False,True,False,False,False,False,False,False,False,False,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,True,False,False,False,False,False,False,True,False
False,False,False,False,True,False,False,False,False,False,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,True,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True,False,False,False,False,False,True
False,True,False,False,False,False,False,False,False,False,False,False,False,True
False,False,True,False,False,False,False,False,False,False,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,False,False,True,False,False,True,False
False,False,True,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,False,False,False,True,False,False,False,False,True,False
False,False,False,False,True,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,True,False,False,False,False,False,False,False,False,True,False
False,False,False,True,False,False,False,False,False,False,False,False,False,True
False,True,False,False,False,False,False,False,False,False,False,True,False,False
False,True,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,True,False,False,False,False,False,False,False,False,True,False
False,False,False,False,True,False,False,False,False,False,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,True,False,False,False,False,False,False,False,True,False,False
False,False,False,False,False,False,False,True,False,False,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,True,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,False,False,False,True,True,False,False
False,False,False,False,False,False,False,False,False,True,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True,False,False,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,False,False,True,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True,False,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,False,False,False,False,True,False,False,False,True,False
False,False,False,False,False,True,False,False,False,False,False,False,True,False
False,False,False,False,False,True,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,False,False,True,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,False,False,False,False,False,True,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,False,False,True,False,False,True,False
False,False,False,False,False,False,False,False,False,True,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,True,False,False
False,False,False,True,False,False,False,False,False,False,False,False,True,False
False,False,True,False,False,False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,False,False,True,False,False,False,True
False,False,False,False,False,False,False,True,False,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True,False,False,False,False,True,False
False,True,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True,False,False,False,False,False,True
False,False,True,False,False,False,False,False,False,False,False,False,False,True
False,True,False,False,False,False,False,False,False,False,False,False,True,False
False,False,True,False,False,False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True,False,False,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,True,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,True,False,False
False,False,False,False,True,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,True,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,True,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,True,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,True,False,False,False,False,False,True,False
False,True,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,True,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True
False,False,True,False,False,False,False,False,False,False,False,True,False,False
False,False,False,False,False,False,False,True,False,False,False,False,True,False
False,False,False,False,False,False,True,False,False,False,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,False,False,True,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,False,False,True,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,False,False,True,False,False,True,False
False,False,False,True,False,False,False,False,False,False,False,True,False,False
False,False,False,False,False,False,False,False,False,True,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,False,False,True,False,False,False,True
False,False,False,False,False,False,False,False,False,True,False,False,False,True
False,True,False,False,False,False,False,False,False,False,False,True,False,False
False,True,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,False,False,True,False,False,False,True
False,True,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,False,False,False,False,False,False,True,False,False,True
False,True,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,True,False,False,False,False,False,False,False,True,False
False,True,False,False,False,False,False,False,False,False,False,False,True,False
False,True,False,False,False,False,False,False,False,False,False,False,True,False
False,True,False,False,False,False,False,False,False,False,False,False,True,False
False,True,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,False,False,False,True,False,False,True
False,False,False,False,False,False,False,False,False,False,True,True,False,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,False,False,False,False,False,False,True,True,False,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,True,False,False,False,False,False,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,True,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,True,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,True,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,True,False,False,False,False,False,False,False,False,False,True
False,True,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,False,False,False,False,True,False,False,False,True,False
False,False,False,False,False,False,False,False,False,True,False,True,False,False
False,True,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,True,False,False
False,False,False,False,False,False,False,True,False,False,False,False,True,False
False,False,False,False,False,False,False,False,False,True,False,False,True,False
False,True,False,False,False,False,False,False,False,False,False,False,False,True
